Date,Close,signal,proba_up
2020-09-28,10696.12,0,0.4476866300973362
2020-09-29,10840.48,0,0.2356857180803989
2020-09-30,10776.59,0,0.29509280493624707
2020-10-01,10619.13,0,0.2270104298066969
2020-10-02,10570.4,0,0.253272150225576
2020-10-03,10542.06,1,0.7167497607051283
2020-10-04,10666.63,0,0.3748380070343923
2020-10-05,10792.21,0,0.47585273739928735
2020-10-06,10599.66,0,0.4919651566118182
2020-10-07,10666.39,0,0.46875627595904573
2020-10-08,10925.57,0,0.43055700211346665
2020-10-09,11050.64,0,0.21736480080470813
2020-10-10,11293.22,0,0.22343276404562604
2020-10-11,11369.02,0,0.3132193452360149
2020-10-12,11528.25,0,0.27191551791190566
2020-10-13,11420.56,0,0.5213882697784713
2020-10-14,11417.89,0,0.4746237509880178
2020-10-15,11505.12,0,0.20683324222096364
2020-10-16,11319.32,0,0.4465224445790712
2020-10-17,11360.2,0,0.38709222407671257
2020-10-18,11503.14,0,0.29166632220590855
2020-10-19,11751.47,0,0.31320782442293155
2020-10-20,11909.99,0,0.16999312295669128
2020-10-21,12780.96,0,0.2595921086495889
2020-10-22,12968.52,0,0.3185813829764297
2020-10-23,12923.07,0,0.3663578018557214
2020-10-24,13111.73,0,0.26907527494175404
2020-10-25,13028.83,0,0.3280315469845461
2020-10-26,13052.19,0,0.17625824918098348
2020-10-27,13636.17,0,0.3145475766667464
2020-10-28,13266.4,0,0.2938629192086992
2020-10-29,13455.7,0,0.17676995781547367
2020-10-30,13560.1,0,0.15243687093099834
2020-10-31,13791.0,0,0.14375503392134717
2020-11-01,13761.5,0,0.364684362755498
2020-11-02,13549.37,0,0.15774881265454552
2020-11-03,14023.53,0,0.11747071287479298
2020-11-04,14144.01,0,0.14887629429589821
2020-11-05,15590.02,0,0.18405776663225662
2020-11-06,15579.92,0,0.27208447244335465
2020-11-07,14818.3,0,0.23147898216972423
2020-11-08,15475.1,0,0.1904634432368167
2020-11-09,15328.41,0,0.14118645824389084
2020-11-10,15297.21,0,0.20420373527890054
2020-11-11,15684.24,0,0.08933977386724969
2020-11-12,16291.86,0,0.1092051078842308
2020-11-13,16320.7,0,0.17753931132137962
2020-11-14,16070.45,0,0.2066552189954512
2020-11-15,15957.0,0,0.24703270085717458
2020-11-16,16713.57,0,0.18741446658162883
2020-11-17,17659.38,0,0.12412805540901782
2020-11-18,17776.12,0,0.15341153114707617
2020-11-19,17802.82,0,0.2621583566509118
2020-11-20,18655.67,0,0.41562480580991756
2020-11-21,18703.8,0,0.5218413888549176
2020-11-22,18414.43,0,0.5494739410752356
2020-11-23,18368.0,0,0.6305844490150389
2020-11-24,19160.01,0,0.5611951819291511
2020-11-25,18719.11,0,0.38718443962897314
2020-11-26,17149.47,0,0.6359206222891123
2020-11-27,17139.52,0,0.6271303259262819
2020-11-28,17719.85,1,0.581058939460192
2020-11-29,18184.99,1,0.5325947585060201
2020-11-30,19695.87,0,0.5485775902157788
2020-12-01,18764.96,0,0.619766154073606
